Year,Geography,Sexe,Age group,Value
2015,Saskatchewan,Hommes,35 to 39 years,4.2
2016,Saskatchewan,Hommes,35 to 39 years,5.7
2017,Saskatchewan,Hommes,35 to 39 years,6.2
2018,Saskatchewan,Hommes,35 to 39 years,6.2
2019,Saskatchewan,Hommes,35 to 39 years,4.2
2020,Saskatchewan,Hommes,35 to 39 years,7.7
2015,Saskatchewan,Hommes,40 to 44 years,4.3
2016,Saskatchewan,Hommes,40 to 44 years,4.0
2017,Saskatchewan,Hommes,40 to 44 years,5.0
2018,Saskatchewan,Hommes,40 to 44 years,4.8
2019,Saskatchewan,Hommes,40 to 44 years,4.2
2020,Saskatchewan,Hommes,40 to 44 years,6.8
2015,Saskatchewan,Hommes,45 to 49 years,4.2
2016,Saskatchewan,Hommes,45 to 49 years,5.6
2017,Saskatchewan,Hommes,45 to 49 years,5.2
2018,Saskatchewan,Hommes,45 to 49 years,4.5
2019,Saskatchewan,Hommes,45 to 49 years,4.6
2020,Saskatchewan,Hommes,45 to 49 years,5.6
2015,Saskatchewan,Hommes,50 to 54 years,3.9
2016,Saskatchewan,Hommes,50 to 54 years,6.0
2017,Saskatchewan,Hommes,50 to 54 years,6.3
2018,Saskatchewan,Hommes,50 to 54 years,5.3
2019,Saskatchewan,Hommes,50 to 54 years,3.9
2020,Saskatchewan,Hommes,50 to 54 years,6.3
2015,Saskatchewan,Hommes,55 to 59 years,4.5
2016,Saskatchewan,Hommes,55 to 59 years,5.7
2017,Saskatchewan,Hommes,55 to 59 years,5.0
2018,Saskatchewan,Hommes,55 to 59 years,6.3
2019,Saskatchewan,Hommes,55 to 59 years,3.5
2020,Saskatchewan,Hommes,55 to 59 years,5.3
2015,Saskatchewan,Hommes,60 to 64 years,
2016,Saskatchewan,Hommes,60 to 64 years,5.6
2017,Saskatchewan,Hommes,60 to 64 years,5.9
2018,Saskatchewan,Hommes,60 to 64 years,6.0
2019,Saskatchewan,Hommes,60 to 64 years,5.0
2020,Saskatchewan,Hommes,60 to 64 years,8.5
2015,Saskatchewan,Hommes,65 years and over,
2016,Saskatchewan,Hommes,65 years and over,
2017,Saskatchewan,Hommes,65 years and over,
2018,Saskatchewan,Hommes,65 years and over,
2019,Saskatchewan,Hommes,65 years and over,
2020,Saskatchewan,Hommes,65 years and over,5.4
2015,Saskatchewan,Hommes,65 to 69 years,
2016,Saskatchewan,Hommes,65 to 69 years,
2017,Saskatchewan,Hommes,65 to 69 years,
2018,Saskatchewan,Hommes,65 to 69 years,
2019,Saskatchewan,Hommes,65 to 69 years,
2020,Saskatchewan,Hommes,65 to 69 years,
2015,Saskatchewan,Hommes,70 years and over,
2016,Saskatchewan,Hommes,70 years and over,
2017,Saskatchewan,Hommes,70 years and over,
2018,Saskatchewan,Hommes,70 years and over,
2019,Saskatchewan,Hommes,70 years and over,
2020,Saskatchewan,Hommes,70 years and over,
2015,Saskatchewan,Femmes,15 years and over,4.7
2016,Saskatchewan,Femmes,15 years and over,5.6
2017,Saskatchewan,Femmes,15 years and over,5.7
2018,Saskatchewan,Femmes,15 years and over,5.6
2019,Saskatchewan,Femmes,15 years and over,5.5
2020,Saskatchewan,Femmes,15 years and over,7.8
2015,Saskatchewan,Femmes,15 to 24 years,9.7
2016,Saskatchewan,Femmes,15 to 24 years,8.9
2017,Saskatchewan,Femmes,15 to 24 years,10.0
2018,Saskatchewan,Femmes,15 to 24 years,8.8
2019,Saskatchewan,Femmes,15 to 24 years,10.8
2020,Saskatchewan,Femmes,15 to 24 years,16.1
2015,Saskatchewan,Femmes,25 years and over,3.7
2016,Saskatchewan,Femmes,25 years and over,5.0
2017,Saskatchewan,Femmes,25 years and over,4.9
2018,Saskatchewan,Femmes,25 years and over,5.0
2019,Saskatchewan,Femmes,25 years and over,4.6
2020,Saskatchewan,Femmes,25 years and over,6.3
2015,Saskatchewan,Femmes,25 to 44 years,4.3
2016,Saskatchewan,Femmes,25 to 44 years,5.8
2017,Saskatchewan,Femmes,25 to 44 years,5.2
2018,Saskatchewan,Femmes,25 to 44 years,5.8
2019,Saskatchewan,Femmes,25 to 44 years,4.9
2020,Saskatchewan,Femmes,25 to 44 years,6.9
2015,Saskatchewan,Femmes,45 to 64 years,3.0
2016,Saskatchewan,Femmes,45 to 64 years,4.2
2017,Saskatchewan,Femmes,45 to 64 years,4.8
2018,Saskatchewan,Femmes,45 to 64 years,4.4
2019,Saskatchewan,Femmes,45 to 64 years,4.4
2020,Saskatchewan,Femmes,45 to 64 years,5.7
2015,Saskatchewan,Femmes,45 years and over,3.0
2016,Saskatchewan,Femmes,45 years and over,4.2
2017,Saskatchewan,Femmes,45 years and over,4.6
2018,Saskatchewan,Femmes,45 years and over,4.1
2019,Saskatchewan,Femmes,45 years and over,4.3
2020,Saskatchewan,Femmes,45 years and over,5.8
2015,Saskatchewan,Femmes,25 to 54 years,3.9
2016,Saskatchewan,Femmes,25 to 54 years,5.3
2017,Saskatchewan,Femmes,25 to 54 years,5.1
2018,Saskatchewan,Femmes,25 to 54 years,5.4
2019,Saskatchewan,Femmes,25 to 54 years,4.8
2020,Saskatchewan,Femmes,25 to 54 years,6.4
2015,Saskatchewan,Femmes,55 years and over,3.0
2016,Saskatchewan,Femmes,55 years and over,3.9
2017,Saskatchewan,Femmes,55 years and over,4.5
2018,Saskatchewan,Femmes,55 years and over,4.0
2019,Saskatchewan,Femmes,55 years and over,3.9
2020,Saskatchewan,Femmes,55 years and over,6.0
2015,Saskatchewan,Femmes,15 to 64 years,4.7
2016,Saskatchewan,Femmes,15 to 64 years,5.7
2017,Saskatchewan,Femmes,15 to 64 years,5.8
2018,Saskatchewan,Femmes,15 to 64 years,5.8
2019,Saskatchewan,Femmes,15 to 64 years,5.7
2020,Saskatchewan,Femmes,15 to 64 years,7.9
2015,Saskatchewan,Femmes,15 to 19 years,13.6
2016,Saskatchewan,Femmes,15 to 19 years,12.5
2017,Saskatchewan,Femmes,15 to 19 years,13.5
2018,Saskatchewan,Femmes,15 to 19 years,13.7
2019,Saskatchewan,Femmes,15 to 19 years,14.9
2020,Saskatchewan,Femmes,15 to 19 years,21.9
2015,Saskatchewan,Femmes,20 to 24 years,7.0
2016,Saskatchewan,Femmes,20 to 24 years,6.4
2017,Saskatchewan,Femmes,20 to 24 years,7.6
2018,Saskatchewan,Femmes,20 to 24 years,6.3
2019,Saskatchewan,Femmes,20 to 24 years,8.3
2020,Saskatchewan,Femmes,20 to 24 years,12.4
2015,Saskatchewan,Femmes,25 to 29 years,5.5
2016,Saskatchewan,Femmes,25 to 29 years,6.1
2017,Saskatchewan,Femmes,25 to 29 years,6.5
2018,Saskatchewan,Femmes,25 to 29 years,7.7
2019,Saskatchewan,Femmes,25 to 29 years,7.1
2020,Saskatchewan,Femmes,25 to 29 years,8.6
2015,Saskatchewan,Femmes,30 to 34 years,4.3
2016,Saskatchewan,Femmes,30 to 34 years,6.1
2017,Saskatchewan,Femmes,30 to 34 years,5.4
2018,Saskatchewan,Femmes,30 to 34 years,4.4
2019,Saskatchewan,Femmes,30 to 34 years,5.3
2020,Saskatchewan,Femmes,30 to 34 years,8.7
2015,Saskatchewan,Femmes,35 to 39 years,3.3
2016,Saskatchewan,Femmes,35 to 39 years,5.9
2017,Saskatchewan,Femmes,35 to 39 years,4.4
2018,Saskatchewan,Femmes,35 to 39 years,6.0
2019,Saskatchewan,Femmes,35 to 39 years,4.0
2020,Saskatchewan,Femmes,35 to 39 years,5.5
2015,Saskatchewan,Femmes,40 to 44 years,3.9
2016,Saskatchewan,Femmes,40 to 44 years,4.4
2017,Saskatchewan,Femmes,40 to 44 years,4.3
2018,Saskatchewan,Femmes,40 to 44 years,5.1
2019,Saskatchewan,Femmes,40 to 44 years,3.6
2020,Saskatchewan,Femmes,40 to 44 years,5.1
2015,Saskatchewan,Femmes,45 to 49 years,3.8
2016,Saskatchewan,Femmes,45 to 49 years,5.1
2017,Saskatchewan,Femmes,45 to 49 years,5.2
2018,Saskatchewan,Femmes,45 to 49 years,4.4
2019,Saskatchewan,Femmes,45 to 49 years,4.7
2020,Saskatchewan,Femmes,45 to 49 years,5.2
2015,Saskatchewan,Femmes,50 to 54 years,2.6
2016,Saskatchewan,Femmes,50 to 54 years,3.5
2017,Saskatchewan,Femmes,50 to 54 years,4.2
2018,Saskatchewan,Femmes,50 to 54 years,4.6
2019,Saskatchewan,Femmes,50 to 54 years,4.7
2020,Saskatchewan,Femmes,50 to 54 years,5.4
2015,Saskatchewan,Femmes,55 to 59 years,3.4
2016,Saskatchewan,Femmes,55 to 59 years,3.8
2017,Saskatchewan,Femmes,55 to 59 years,4.9
2018,Saskatchewan,Femmes,55 to 59 years,4.8
2019,Saskatchewan,Femmes,55 to 59 years,4.4
2020,Saskatchewan,Femmes,55 to 59 years,6.2
2015,Saskatchewan,Femmes,60 to 64 years,
2016,Saskatchewan,Femmes,60 to 64 years,4.0
2017,Saskatchewan,Femmes,60 to 64 years,4.5
2018,Saskatchewan,Femmes,60 to 64 years,4.3
2019,Saskatchewan,Femmes,60 to 64 years,4.1
2020,Saskatchewan,Femmes,60 to 64 years,6.2
2015,Saskatchewan,Femmes,65 years and over,
2016,Saskatchewan,Femmes,65 years and over,
2017,Saskatchewan,Femmes,65 years and over,
2018,Saskatchewan,Femmes,65 years and over,
2019,Saskatchewan,Femmes,65 years and over,
2020,Saskatchewan,Femmes,65 years and over,6.4
2015,Saskatchewan,Femmes,65 to 69 years,
2016,Saskatchewan,Femmes,65 to 69 years,
2017,Saskatchewan,Femmes,65 to 69 years,
2018,Saskatchewan,Femmes,65 to 69 years,
2019,Saskatchewan,Femmes,65 to 69 years,
2020,Saskatchewan,Femmes,65 to 69 years,
2015,Saskatchewan,Femmes,70 years and over,
2016,Saskatchewan,Femmes,70 years and over,
2017,Saskatchewan,Femmes,70 years and over,
2018,Saskatchewan,Femmes,70 years and over,
2019,Saskatchewan,Femmes,70 years and over,
2020,Saskatchewan,Femmes,70 years and over,
2015,Alberta,Les deux sexes,15 years and over,6.1
2016,Alberta,Les deux sexes,15 years and over,8.2
2017,Alberta,Les deux sexes,15 years and over,7.9
2018,Alberta,Les deux sexes,15 years and over,6.7
2019,Alberta,Les deux sexes,15 years and over,7.0
2020,Alberta,Les deux sexes,15 years and over,11.4
2015,Alberta,Les deux sexes,15 to 24 years,10.4
2016,Alberta,Les deux sexes,15 to 24 years,13.0
2017,Alberta,Les deux sexes,15 to 24 years,13.1
2018,Alberta,Les deux sexes,15 to 24 years,11.8
2019,Alberta,Les deux sexes,15 to 24 years,12.6
2020,Alberta,Les deux sexes,15 to 24 years,24.1
2015,Alberta,Les deux sexes,25 years and over,5.3
2016,Alberta,Les deux sexes,25 years and over,7.3
2017,Alberta,Les deux sexes,25 years and over,7.1
2018,Alberta,Les deux sexes,25 years and over,5.8
2019,Alberta,Les deux sexes,25 years and over,6.1
2020,Alberta,Les deux sexes,25 years and over,9.5
2015,Alberta,Les deux sexes,25 to 44 years,5.6
2016,Alberta,Les deux sexes,25 to 44 years,7.0
2017,Alberta,Les deux sexes,25 to 44 years,6.3
2018,Alberta,Les deux sexes,25 to 44 years,5.2
2019,Alberta,Les deux sexes,25 to 44 years,6.0
2020,Alberta,Les deux sexes,25 to 44 years,9.6
2015,Alberta,Les deux sexes,45 to 64 years,5.2
2016,Alberta,Les deux sexes,45 to 64 years,8.0
2017,Alberta,Les deux sexes,45 to 64 years,8.0
2018,Alberta,Les deux sexes,45 to 64 years,6.8
2019,Alberta,Les deux sexes,45 to 64 years,6.3
2020,Alberta,Les deux sexes,45 to 64 years,9.5
2015,Alberta,Les deux sexes,45 years and over,5.0
2016,Alberta,Les deux sexes,45 years and over,7.7
2017,Alberta,Les deux sexes,45 years and over,8.0
2018,Alberta,Les deux sexes,45 years and over,6.6
2019,Alberta,Les deux sexes,45 years and over,6.2
2020,Alberta,Les deux sexes,45 years and over,9.3
2015,Alberta,Les deux sexes,25 to 54 years,5.5
2016,Alberta,Les deux sexes,25 to 54 years,7.2
2017,Alberta,Les deux sexes,25 to 54 years,6.7
2018,Alberta,Les deux sexes,25 to 54 years,5.6
2019,Alberta,Les deux sexes,25 to 54 years,5.8
2020,Alberta,Les deux sexes,25 to 54 years,9.3
2015,Alberta,Les deux sexes,55 years and over,4.7
2016,Alberta,Les deux sexes,55 years and over,7.9
2017,Alberta,Les deux sexes,55 years and over,8.5
2018,Alberta,Les deux sexes,55 years and over,6.6
2019,Alberta,Les deux sexes,55 years and over,7.2
2020,Alberta,Les deux sexes,55 years and over,10.3
2015,Alberta,Les deux sexes,15 to 64 years,6.2
2016,Alberta,Les deux sexes,15 to 64 years,8.3
2017,Alberta,Les deux sexes,15 to 64 years,8.0
2018,Alberta,Les deux sexes,15 to 64 years,6.7
2019,Alberta,Les deux sexes,15 to 64 years,7.1
2020,Alberta,Les deux sexes,15 to 64 years,11.6
2015,Alberta,Les deux sexes,15 to 19 years,14.2
2016,Alberta,Les deux sexes,15 to 19 years,18.0
2017,Alberta,Les deux sexes,15 to 19 years,18.4
2018,Alberta,Les deux sexes,15 to 19 years,18.0
2019,Alberta,Les deux sexes,15 to 19 years,19.7
2020,Alberta,Les deux sexes,15 to 19 years,29.7
2015,Alberta,Les deux sexes,20 to 24 years,8.2
2016,Alberta,Les deux sexes,20 to 24 years,10.1
2017,Alberta,Les deux sexes,20 to 24 years,10.0
2018,Alberta,Les deux sexes,20 to 24 years,8.4
2019,Alberta,Les deux sexes,20 to 24 years,8.8
2020,Alberta,Les deux sexes,20 to 24 years,20.8
2015,Alberta,Les deux sexes,25 to 29 years,6.4
2016,Alberta,Les deux sexes,25 to 29 years,7.8
2017,Alberta,Les deux sexes,25 to 29 years,8.1
2018,Alberta,Les deux sexes,25 to 29 years,6.4
2019,Alberta,Les deux sexes,25 to 29 years,7.0
2020,Alberta,Les deux sexes,25 to 29 years,12.1
2015,Alberta,Les deux sexes,30 to 34 years,4.7
2016,Alberta,Les deux sexes,30 to 34 years,6.8
2017,Alberta,Les deux sexes,30 to 34 years,5.9
2018,Alberta,Les deux sexes,30 to 34 years,5.0
2019,Alberta,Les deux sexes,30 to 34 years,6.4
2020,Alberta,Les deux sexes,30 to 34 years,9.4
2015,Alberta,Les deux sexes,35 to 39 years,5.5
2016,Alberta,Les deux sexes,35 to 39 years,6.4
2017,Alberta,Les deux sexes,35 to 39 years,5.2
2018,Alberta,Les deux sexes,35 to 39 years,4.7
2019,Alberta,Les deux sexes,35 to 39 years,5.3
2020,Alberta,Les deux sexes,35 to 39 years,9.0
2015,Alberta,Les deux sexes,40 to 44 years,5.6
2016,Alberta,Les deux sexes,40 to 44 years,7.2
2017,Alberta,Les deux sexes,40 to 44 years,6.3
2018,Alberta,Les deux sexes,40 to 44 years,4.8
2019,Alberta,Les deux sexes,40 to 44 years,5.2
2020,Alberta,Les deux sexes,40 to 44 years,8.2
2015,Alberta,Les deux sexes,45 to 49 years,5.3
2016,Alberta,Les deux sexes,45 to 49 years,7.9
2017,Alberta,Les deux sexes,45 to 49 years,7.0
2018,Alberta,Les deux sexes,45 to 49 years,5.9
2019,Alberta,Les deux sexes,45 to 49 years,5.1
2020,Alberta,Les deux sexes,45 to 49 years,7.8
2015,Alberta,Les deux sexes,50 to 54 years,5.3
2016,Alberta,Les deux sexes,50 to 54 years,7.1
2017,Alberta,Les deux sexes,50 to 54 years,8.0
2018,Alberta,Les deux sexes,50 to 54 years,7.1
2019,Alberta,Les deux sexes,50 to 54 years,5.2
2020,Alberta,Les deux sexes,50 to 54 years,9.0
2015,Alberta,Les deux sexes,55 to 59 years,4.6
2016,Alberta,Les deux sexes,55 to 59 years,7.3
2017,Alberta,Les deux sexes,55 to 59 years,8.5
2018,Alberta,Les deux sexes,55 to 59 years,6.9
2019,Alberta,Les deux sexes,55 to 59 years,7.1
2020,Alberta,Les deux sexes,55 to 59 years,10.7
2015,Alberta,Les deux sexes,60 to 64 years,5.5
2016,Alberta,Les deux sexes,60 to 64 years,10.6
2017,Alberta,Les deux sexes,60 to 64 years,9.1
2018,Alberta,Les deux sexes,60 to 64 years,7.5
2019,Alberta,Les deux sexes,60 to 64 years,8.8
2020,Alberta,Les deux sexes,60 to 64 years,11.1
2015,Alberta,Les deux sexes,65 years and over,3.5
2016,Alberta,Les deux sexes,65 years and over,5.0
2017,Alberta,Les deux sexes,65 years and over,7.4
2018,Alberta,Les deux sexes,65 years and over,4.9
2019,Alberta,Les deux sexes,65 years and over,5.4
2020,Alberta,Les deux sexes,65 years and over,8.0
2015,Alberta,Les deux sexes,65 to 69 years,3.8
2016,Alberta,Les deux sexes,65 to 69 years,6.3
2017,Alberta,Les deux sexes,65 to 69 years,9.6
2018,Alberta,Les deux sexes,65 to 69 years,6.3
2019,Alberta,Les deux sexes,65 to 69 years,6.2
2020,Alberta,Les deux sexes,65 to 69 years,10.7
2015,Alberta,Les deux sexes,70 years and over,
2016,Alberta,Les deux sexes,70 years and over,
2017,Alberta,Les deux sexes,70 years and over,
2018,Alberta,Les deux sexes,70 years and over,
2019,Alberta,Les deux sexes,70 years and over,
2020,Alberta,Les deux sexes,70 years and over,3.9
2015,Alberta,Hommes,15 years and over,6.5
2016,Alberta,Hommes,15 years and over,8.8
2017,Alberta,Hommes,15 years and over,8.3
2018,Alberta,Hommes,15 years and over,7.0
2019,Alberta,Hommes,15 years and over,7.6
2020,Alberta,Hommes,15 years and over,11.8
2015,Alberta,Hommes,15 to 24 years,11.7
2016,Alberta,Hommes,15 to 24 years,14.3
2017,Alberta,Hommes,15 to 24 years,15.9
2018,Alberta,Hommes,15 to 24 years,13.4
2019,Alberta,Hommes,15 to 24 years,14.7
2020,Alberta,Hommes,15 to 24 years,24.3
2015,Alberta,Hommes,25 years and over,5.6
2016,Alberta,Hommes,25 years and over,8.0
2017,Alberta,Hommes,25 years and over,7.1
2018,Alberta,Hommes,25 years and over,5.9
2019,Alberta,Hommes,25 years and over,6.6
2020,Alberta,Hommes,25 years and over,9.9
2015,Alberta,Hommes,25 to 44 years,5.7
2016,Alberta,Hommes,25 to 44 years,7.8
2017,Alberta,Hommes,25 to 44 years,6.2
2018,Alberta,Hommes,25 to 44 years,5.4
2019,Alberta,Hommes,25 to 44 years,6.2
2020,Alberta,Hommes,25 to 44 years,10.2
2015,Alberta,Hommes,45 to 64 years,5.6
2016,Alberta,Hommes,45 to 64 years,8.4
2017,Alberta,Hommes,45 to 64 years,8.3
2018,Alberta,Hommes,45 to 64 years,6.8
2019,Alberta,Hommes,45 to 64 years,7.0
2020,Alberta,Hommes,45 to 64 years,9.7
2015,Alberta,Hommes,45 years and over,5.4
2016,Alberta,Hommes,45 years and over,8.2
2017,Alberta,Hommes,45 years and over,8.3
2018,Alberta,Hommes,45 years and over,6.6
2019,Alberta,Hommes,45 years and over,7.0
2020,Alberta,Hommes,45 years and over,9.6
2015,Alberta,Hommes,25 to 54 years,5.7
2016,Alberta,Hommes,25 to 54 years,7.9
2017,Alberta,Hommes,25 to 54 years,6.6
2018,Alberta,Hommes,25 to 54 years,5.6
2019,Alberta,Hommes,25 to 54 years,6.0
2020,Alberta,Hommes,25 to 54 years,9.6
2015,Alberta,Hommes,55 years and over,5.0
2016,Alberta,Hommes,55 years and over,8.2
2017,Alberta,Hommes,55 years and over,8.9
2018,Alberta,Hommes,55 years and over,7.1
2019,Alberta,Hommes,55 years and over,8.4
2020,Alberta,Hommes,55 years and over,10.8
2015,Alberta,Hommes,15 to 64 years,6.6
2016,Alberta,Hommes,15 to 64 years,8.9
2017,Alberta,Hommes,15 to 64 years,8.3
2018,Alberta,Hommes,15 to 64 years,7.0
2019,Alberta,Hommes,15 to 64 years,7.7
2020,Alberta,Hommes,15 to 64 years,11.9
2015,Alberta,Hommes,15 to 19 years,16.2
2016,Alberta,Hommes,15 to 19 years,18.1
2017,Alberta,Hommes,15 to 19 years,21.7
2018,Alberta,Hommes,15 to 19 years,19.5
2019,Alberta,Hommes,15 to 19 years,22.4
2020,Alberta,Hommes,15 to 19 years,31.1
2015,Alberta,Hommes,20 to 24 years,9.2
2016,Alberta,Hommes,20 to 24 years,12.1
2017,Alberta,Hommes,20 to 24 years,12.6
2018,Alberta,Hommes,20 to 24 years,10.1
2019,Alberta,Hommes,20 to 24 years,10.5
2020,Alberta,Hommes,20 to 24 years,20.7
2015,Alberta,Hommes,25 to 29 years,7.5
2016,Alberta,Hommes,25 to 29 years,8.8
2017,Alberta,Hommes,25 to 29 years,8.2
2018,Alberta,Hommes,25 to 29 years,7.3
2019,Alberta,Hommes,25 to 29 years,7.5
2020,Alberta,Hommes,25 to 29 years,13.8
2015,Alberta,Hommes,30 to 34 years,4.7
2016,Alberta,Hommes,30 to 34 years,7.4
2017,Alberta,Hommes,30 to 34 years,5.0
2018,Alberta,Hommes,30 to 34 years,5.3
2019,Alberta,Hommes,30 to 34 years,6.7
2020,Alberta,Hommes,30 to 34 years,9.8
2015,Alberta,Hommes,35 to 39 years,5.1
2016,Alberta,Hommes,35 to 39 years,6.7
2017,Alberta,Hommes,35 to 39 years,5.2
2018,Alberta,Hommes,35 to 39 years,4.4
2019,Alberta,Hommes,35 to 39 years,5.1
2020,Alberta,Hommes,35 to 39 years,8.6
2015,Alberta,Hommes,40 to 44 years,5.6
2016,Alberta,Hommes,40 to 44 years,8.3
2017,Alberta,Hommes,40 to 44 years,6.4
2018,Alberta,Hommes,40 to 44 years,4.6
2019,Alberta,Hommes,40 to 44 years,5.7
2020,Alberta,Hommes,40 to 44 years,8.8
2015,Alberta,Hommes,45 to 49 years,5.9
2016,Alberta,Hommes,45 to 49 years,7.8
2017,Alberta,Hommes,45 to 49 years,6.6
2018,Alberta,Hommes,45 to 49 years,5.6
2019,Alberta,Hommes,45 to 49 years,5.1
2020,Alberta,Hommes,45 to 49 years,7.2
2015,Alberta,Hommes,50 to 54 years,5.6
2016,Alberta,Hommes,50 to 54 years,8.4
2017,Alberta,Hommes,50 to 54 years,8.5
2018,Alberta,Hommes,50 to 54 years,6.7
2019,Alberta,Hommes,50 to 54 years,5.8
2020,Alberta,Hommes,50 to 54 years,9.6
2015,Alberta,Hommes,55 to 59 years,4.6
2016,Alberta,Hommes,55 to 59 years,7.4
2017,Alberta,Hommes,55 to 59 years,9.2
2018,Alberta,Hommes,55 to 59 years,7.6
2019,Alberta,Hommes,55 to 59 years,7.9
2020,Alberta,Hommes,55 to 59 years,11.7
2015,Alberta,Hommes,60 to 64 years,6.6
2016,Alberta,Hommes,60 to 64 years,10.9
2017,Alberta,Hommes,60 to 64 years,9.3
2018,Alberta,Hommes,60 to 64 years,7.4
2019,Alberta,Hommes,60 to 64 years,10.5
2020,Alberta,Hommes,60 to 64 years,10.8
2015,Alberta,Hommes,65 years and over,
2016,Alberta,Hommes,65 years and over,
2017,Alberta,Hommes,65 years and over,7.8
2018,Alberta,Hommes,65 years and over,
2019,Alberta,Hommes,65 years and over,
2020,Alberta,Hommes,65 years and over,9.0
2015,Alberta,Hommes,65 to 69 years,
2016,Alberta,Hommes,65 to 69 years,
2017,Alberta,Hommes,65 to 69 years,10.6
2018,Alberta,Hommes,65 to 69 years,
2019,Alberta,Hommes,65 to 69 years,
2020,Alberta,Hommes,65 to 69 years,11.7
2015,Alberta,Hommes,70 years and over,
2016,Alberta,Hommes,70 years and over,
2017,Alberta,Hommes,70 years and over,
2018,Alberta,Hommes,70 years and over,
2019,Alberta,Hommes,70 years and over,
2020,Alberta,Hommes,70 years and over,
2015,Alberta,Femmes,15 years and over,5.6
2016,Alberta,Femmes,15 years and over,7.4
2017,Alberta,Femmes,15 years and over,7.5
2018,Alberta,Femmes,15 years and over,6.3
2019,Alberta,Femmes,15 years and over,6.2
2020,Alberta,Femmes,15 years and over,11.1
2015,Alberta,Femmes,15 to 24 years,8.9
2016,Alberta,Femmes,15 to 24 years,11.6
2017,Alberta,Femmes,15 to 24 years,9.9
2018,Alberta,Femmes,15 to 24 years,10.0
2019,Alberta,Femmes,15 to 24 years,10.4
2020,Alberta,Femmes,15 to 24 years,23.9
2015,Alberta,Femmes,25 years and over,5.0
2016,Alberta,Femmes,25 years and over,6.6
2017,Alberta,Femmes,25 years and over,7.0
2018,Alberta,Femmes,25 years and over,5.7
2019,Alberta,Femmes,25 years and over,5.5
2020,Alberta,Femmes,25 years and over,9.0
2015,Alberta,Femmes,25 to 44 years,5.3
2016,Alberta,Femmes,25 to 44 years,6.2
2017,Alberta,Femmes,25 to 44 years,6.6
2018,Alberta,Femmes,25 to 44 years,5.1
2019,Alberta,Femmes,25 to 44 years,5.7
2020,Alberta,Femmes,25 to 44 years,9.0
2015,Alberta,Femmes,45 to 64 years,4.7
2016,Alberta,Femmes,45 to 64 years,7.5
2017,Alberta,Femmes,45 to 64 years,7.7
2018,Alberta,Femmes,45 to 64 years,6.8
2019,Alberta,Femmes,45 to 64 years,5.5
2020,Alberta,Femmes,45 to 64 years,9.2
2015,Alberta,Femmes,45 years and over,4.5
2016,Alberta,Femmes,45 years and over,7.1
2017,Alberta,Femmes,45 years and over,7.6
2018,Alberta,Femmes,45 years and over,6.5
2019,Alberta,Femmes,45 years and over,5.3
2020,Alberta,Femmes,45 years and over,9.0
2015,Alberta,Femmes,25 to 54 years,5.2
2016,Alberta,Femmes,25 to 54 years,6.4
2017,Alberta,Femmes,25 to 54 years,6.8
2018,Alberta,Femmes,25 to 54 years,5.6
2019,Alberta,Femmes,25 to 54 years,5.5
2020,Alberta,Femmes,25 to 54 years,8.8
2015,Alberta,Femmes,55 years and over,4.2
2016,Alberta,Femmes,55 years and over,7.5
2017,Alberta,Femmes,55 years and over,7.8
2018,Alberta,Femmes,55 years and over,6.1
2019,Alberta,Femmes,55 years and over,5.7
2020,Alberta,Femmes,55 years and over,9.6
2015,Alberta,Femmes,15 to 64 years,5.6
2016,Alberta,Femmes,15 to 64 years,7.5
2017,Alberta,Femmes,15 to 64 years,7.5
2018,Alberta,Femmes,15 to 64 years,6.4
2019,Alberta,Femmes,15 to 64 years,6.3
2020,Alberta,Femmes,15 to 64 years,11.2
2015,Alberta,Femmes,15 to 19 years,12.1
2016,Alberta,Femmes,15 to 19 years,17.8
2017,Alberta,Femmes,15 to 19 years,14.7
2018,Alberta,Femmes,15 to 19 years,16.2
2019,Alberta,Femmes,15 to 19 years,16.8
2020,Alberta,Femmes,15 to 19 years,28.4
2015,Alberta,Femmes,20 to 24 years,7.1
2016,Alberta,Femmes,20 to 24 years,7.8
2017,Alberta,Femmes,20 to 24 years,7.2
2018,Alberta,Femmes,20 to 24 years,6.4
2019,Alberta,Femmes,20 to 24 years,6.9
2020,Alberta,Femmes,20 to 24 years,21.0
2015,Alberta,Femmes,25 to 29 years,5.1
2016,Alberta,Femmes,25 to 29 years,6.7
2017,Alberta,Femmes,25 to 29 years,8.0
2018,Alberta,Femmes,25 to 29 years,5.4
2019,Alberta,Femmes,25 to 29 years,6.5
2020,Alberta,Femmes,25 to 29 years,10.2
2015,Alberta,Femmes,30 to 34 years,4.8
2016,Alberta,Femmes,30 to 34 years,6.0
2017,Alberta,Femmes,30 to 34 years,7.0
2018,Alberta,Femmes,30 to 34 years,4.7
2019,Alberta,Femmes,30 to 34 years,6.1
2020,Alberta,Femmes,30 to 34 years,8.9
2015,Alberta,Femmes,35 to 39 years,6.0
2016,Alberta,Femmes,35 to 39 years,6.0
2017,Alberta,Femmes,35 to 39 years,5.2
2018,Alberta,Femmes,35 to 39 years,5.2
2019,Alberta,Femmes,35 to 39 years,5.6
2020,Alberta,Femmes,35 to 39 years,9.5
2015,Alberta,Femmes,40 to 44 years,5.5
2016,Alberta,Femmes,40 to 44 years,5.9
2017,Alberta,Femmes,40 to 44 years,6.0
2018,Alberta,Femmes,40 to 44 years,5.1
2019,Alberta,Femmes,40 to 44 years,4.6
